SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,GAIN
IRFC,NK,1243.9,1244,1243.9,1244,1244,1204.99,250,310995,08-Dec-22,2,INE053F07843,"8.039231449466119e-05
"
IVZINGOLD,EQ,4771.1,4819,4771,4771.3,4771.3,4796.95,184,880038.8,08-Dec-22,21,INF205K01361,"4.1919054306096725e-05
"
NIFTYBEES,EQ,176.5,203.8,176.5,203.62,203.8,202.87,1374081,279244678,08-Dec-22,18415,INF204KB14I2,"0.15365439093484423
"
SIMPLEXINF,EQ,61.75,71.45,60.1,70.65,69.85,59.55,891869,62078806.25,08-Dec-22,3700,INE059B01024,"0.14412955465587055
"
TRU,EQ,59.45,70.6,58.9,67.85,67,58.85,1947943,130345702,08-Dec-22,19900,INE615R01029,"0.1412952060555087
"
DIGISPICE,EQ,25.35,29.6,25.2,28.9,29.2,24.7,1812691,52402928.95,08-Dec-22,7151,INE927C01020,"0.1400394477317553
"
SKIPPER,EQ,115.2,133,115.2,131.3,131,115,3143405,398029584.3,08-Dec-22,38953,INE439E01022,"0.1397569444444445
"
AURIONPRO,EQ,344,412,342,391.65,394.6,344.7,559243,219428183.8,08-Dec-22,19569,INE132H01018,"0.13851744186046505
"
CROWN,EQ,38.65,47.25,38,43.75,44.5,39.8,60420,2636554.7,08-Dec-22,769,INE491V01019,"0.13195342820181116
"
VENKEYS,EQ,1825,2135,1818.6,2044.8,2043,1813.9,1536841,3173954197,08-Dec-22,99302,INE398A01010,"0.12043835616438353
"
OPTIEMUS,EQ,290,328.7,290,324.5,327,296.25,1912089,603098308.5,08-Dec-22,36541,INE350C01017,"0.11896551724137931
"
CENTRALBK,EQ,28.5,33.25,28.45,31.55,32.45,28.15,138188776,4158228079,08-Dec-22,117335,INE483A01010,"0.10701754385964915
"
PULZ,SM,63.5,70.1,63.5,70.1,70.1,66.8,80000,5311400,08-Dec-22,16,INE335X01014,"0.10393700787401566
"
MPTODAY,SM,38.5,42.45,38.5,42.45,42.45,40.5,38000,1573700,08-Dec-22,17,INE105Y01019,"0.10259740259740267
"
KEC,EQ,435.7,484.7,434.95,479.7,478.15,434.4,6000413,2805272770,08-Dec-22,100018,INE389H01022,"0.10098691760385586
"
PSB,EQ,28.85,31.65,28.65,31.65,31.65,28.8,35480663,1091336317,08-Dec-22,33984,INE608A01012,"0.09705372616984392
"
AAATECH,EQ,63,69.35,62.85,68.9,68.65,63.05,47870,3282168.15,08-Dec-22,679,INE0D0U01013,"0.09365079365079373
"
UNIINFO,EQ,23.4,27.35,23.3,25.5,25.25,22.8,622041,16633160.55,08-Dec-22,1382,INE481Z01011,"0.08974358974358981
"
CHEMPLASTS,EQ,428.55,475.8,426.05,466.3,465.6,424.3,1386951,642483176,08-Dec-22,31276,INE488A01050,"0.08808773772021934
"
INDSWFTLAB,EQ,66.35,73.45,66.2,71.8,71.9,65.6,756168,53466949,08-Dec-22,6956,INE915B01019,"0.08214016578749063
"
KARURVYSYA,EQ,102.5,111.9,101.45,110.9,110.6,101.1,25028924,2695241987,08-Dec-22,81876,INE036D01028,"0.08195121951219518
"
ENERGYDEV,EQ,21.45,23.35,21.45,23.2,23.35,21.25,469649,10689258.25,08-Dec-22,1555,INE306C01019,"0.08158508158508158
"
J&KBANK,EQ,57.1,62,56.5,61.65,61.55,56.8,35562239,2110556064,08-Dec-22,51611,INE168A01041,"0.07968476357267945
"
VIVO,SM,102,110,102,110,110,106.4,4800,511200,08-Dec-22,3,INE0IA701014,"0.0784313725490196
"
